,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
12,Verassure Insurance Company,2018,Q4,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"13,512"
14,Verassure Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,521
15,Verassure Insurance Company,2018,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,557
16,Verassure Insurance Company,2018,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"8,611"
17,Verassure Insurance Company,2018,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"7,791"
18,Verassure Insurance Company,2018,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"47,106"
19,Verassure Insurance Company,2018,Q4,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2018,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"370,479"
1,Verassure Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2018,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"7,122"
5,Verassure Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"14,339"
6,Verassure Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Catastrophes,900
7,Verassure Insurance Company,2018,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,16
8,Verassure Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Interest rate risk,820
9,Verassure Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"3,722"
10,Verassure Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Equity risk,"36,640"
11,Verassure Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2018,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"15,864"
14,Verassure Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,572
15,Verassure Insurance Company,2018,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,793
16,Verassure Insurance Company,2018,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"10,297"
17,Verassure Insurance Company,2018,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"8,541"
18,Verassure Insurance Company,2018,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"55,029"
19,Verassure Insurance Company,2018,Q3,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2018,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"349,252"
1,Verassure Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2018,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"8,586"
5,Verassure Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"15,403"
6,Verassure Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Catastrophes,900
7,Verassure Insurance Company,2018,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,18
8,Verassure Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Interest rate risk,"1,342"
9,Verassure Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"3,552"
10,Verassure Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Equity risk,"33,765"
11,Verassure Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2018,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"16,609"
14,Verassure Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,569
15,Verassure Insurance Company,2018,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"1,343"
16,Verassure Insurance Company,2018,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"11,247"
17,Verassure Insurance Company,2018,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"9,189"
18,Verassure Insurance Company,2018,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"56,097"
19,Verassure Insurance Company,2018,Q2,Capital Available,Total Capital Available,Other,0
0,Verassure Insurance Company,2018,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"313,724"
1,Verassure Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
2,Verassure Insurance Company,2018,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Verassure Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
4,Verassure Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"12,422"
5,Verassure Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"29,028"
6,Verassure Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Catastrophes,900
7,Verassure Insurance Company,2018,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,26
8,Verassure Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Interest rate risk,"4,637"
9,Verassure Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,"7,024"
10,Verassure Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Equity risk,"42,634"
11,Verassure Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Verassure Insurance Company,2018,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Verassure Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"18,737"
14,Verassure Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,573
15,Verassure Insurance Company,2018,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"1,732"
16,Verassure Insurance Company,2018,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"15,213"
17,Verassure Insurance Company,2018,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"14,447"
18,Verassure Insurance Company,2018,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"78,986"
19,Verassure Insurance Company,2018,Q1,Capital Available,Total Capital Available,Other,0
0,Waterloo Insurance Company,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"85,467"
1,Waterloo Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
2,Waterloo Insurance Company,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Waterloo Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
4,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"6,321"
5,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"13,622"
6,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,"3,461"
9,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,413
10,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Equity risk,"4,620"
11,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"2,673"
14,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,260
15,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Waterloo Insurance Company,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"3,367"
17,Waterloo Insurance Company,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"3,871"
18,Waterloo Insurance Company,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"20,577"
19,Waterloo Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
0,Waterloo Insurance Company,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"81,037"
1,Waterloo Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
2,Waterloo Insurance Company,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Waterloo Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
4,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"6,185"
5,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"13,262"
6,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,"3,102"
9,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,396
10,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Equity risk,"4,290"
11,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"2,697"
14,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,260
15,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
16,Waterloo Insurance Company,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"3,491"
17,Waterloo Insurance Company,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"3,685"
18,Waterloo Insurance Company,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"19,999"
19,Waterloo Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
0,Waterloo Insurance Company,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"73,827"
1,Waterloo Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
2,Waterloo Insurance Company,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Waterloo Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
4,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"5,771"
5,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"12,787"
6,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,0
8,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,"3,064"
9,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,350
10,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Equity risk,"3,731"
11,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"2,520"
14,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,260
15,Waterloo Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,0
